location_type,stop_id,stop_lat,stop_lon,parent_station,stop_name,stop_code,stop_timezone,preferred,stop_url,wheelchair_boarding,stop_desc,zone_id
0,913,43.933437,-78.84691599999998,,Harmony Southbound @ Swiss,913,,2,,1,,
0,92003,43.88025819,-78.844845,,Northbound @ 753 Ritson,92003,,2,,2,,
0,92016,43.87189,-79.05884,,Rossland Eastbound @ Harkins,92016,,2,,1,,
0,92017,43.87402,-79.05276,,Rossland Eastbound @ Ravenscroft,92017,,2,,1,,
0,92041,43.878759,-79.03210199999998,,Rossland Westbound @ Woodcock,92041,,2,,1,,
0,92042,43.878137,-79.03495599999998,,Rossland Westbound @ 128 Rossland,92042,,2,,1,,
0,92043,43.884761,-79.046574,,Westney Northbound @ Williamson,92043,,2,,2,,
0,92047,43.8333729,-79.0269981,,Clements Westbound @ Finley,92047,,2,,1,,
0,92054,43.86054494,-79.01441303999998,,Northbound @ 133 Salem,92054,,2,,1,,
0,92059,43.89575475,-79.0227251,,Williamson Eastbound @ Gillett,92059,,2,,1,,
0,92061,43.89760600000001,-79.016244,,Williamson Westbound @ Warner,92061,,2,,1,,
0,92064,43.892717,-79.028741,,Salem Southbound @ Williamson,92064,,2,,1,,
0,92071,43.86138006,-79.01519546999998,,Salem Southbound @ Twilley,92071,,2,,1,,
0,92072,43.8639584,-79.0131049,,Eastbound @ 257 Kingston Road East,92072,,2,,1,,
0,92075,43.85988205000001,-79.01450543,,Salem Southbound @ Mandrake,92075,,2,,1,,
0,92719,43.87784,-78.843889,,Ritison Northbound @ Wolfe,92719,,2,,2,,
0,93000,43.879227,-78.827646,,Colonel Sam Eastbound @ Farewell,93000,,2,,1,,
0,93016,43.87403,-79.0534,,Rossland Westbound @ Ravenscroft,93016,,2,,1,,
0,93019,44.093966,-79.13067599999998,,Toronto Northbound @ Banff,93019,,2,,1,,
0,93020,44.094054,-79.130985,,Toronto Southbound @ Banff,93020,,2,,1,,
0,93024,43.88908,-78.892506,,Thornton Southbound @ Monaghan (Trent University Oshawa),93024,,2,,1,,
0,93026,43.96308,-78.90291,,Simcoe Southbound @ Windfields Farm,93026,,1,,2,,
0,93027,43.8916763,-78.8461123,,Olive Eastbound @ Verdun,93027,,2,,1,,
0,93028,43.861986,-78.834452,,Lakeview Westbound @ Birchcliffe,93028,,2,,1,,
0,93031,43.89090112,-79.03862608999998,,Harwood Southbound @ Haskell,93031,,2,,2,,
0,93035,43.91884000000001,-78.85475,,Rossland Eastbound @ Brentwood,93035,,2,,1,,
0,93036,43.94528721,-78.85177539999998,,Harmony Northbound @ Coldstream,93036,,2,,1,,
0,93040,43.92999275,-78.962969,,Baldwin Southbound @ Canary,93040,,2,,1,,
0,93041,43.93034,-78.96275199999998,,Baldwin Northbound @ Canary,93041,,2,,1,,
0,93048,43.85221471,-79.06469787,,Kingston Eastbound @ Notion,93048,,2,,2,,
0,93054,43.8863306,-78.8793725,,Gibb Westbound @ Stevenson (East side stop),93054,,2,,1,,
0,93055,43.89199751000001,-79.05006016999998,,Westney Southbound @ Taunton,93055,,2,,1,,
0,93056,43.89317982,-79.05035663,,Westney Northbound @ Taunton,93056,,2,,1,,
0,93057,43.8755334,-79.04638522,,Rossland Westbound @ Carter-Bennett,93057,,2,,2,,
0,93058,43.8506919,-78.94358167,,Gordon Westbound @ James Govan,93058,,2,,1,,
0,93059,43.85061079,-78.94366388,,Gordon Eastbound @ James Govan,93059,,2,,1,,
0,93060,43.808712,-79.131154,,Kingston Westbound @ Altona,93060,,1,,1,,
0,93061,43.807572,-79.132422,,Kingston Eastbound @ Altona,93061,,1,,1,,
0,93063,44.09186165,-79.13244958999998,,Toronto Southbound @ Douglas,93063,,2,,1,,
0,93064,43.9491175,-78.8910235,,Conlin Westbound @ Bridle,93064,,2,,1,,
0,93083,43.91197,-78.97113899999998,,Eastbound @ 437 Taunton,93083,,2,,1,,
0,93091,43.90503,-78.97245,,Country Lane Northbound @ Shenandoah,93091,,2,,1,,
0,93092,43.9091991,-78.9747169,,Country Lane Northbound @ Vineyard,93092,,2,,1,,
0,93101,43.82290900000001,-79.136049,,Strouds Lane Eastbound @ Calvington,93101,,2,,1,,
0,93102,44.093677,-78.95541799999998,,Old Simcoe Northbound @ Victoria,93102,,2,,1,,
0,93106,44.10026,-78.94311,,Scugog Eastbound @ High,93106,,2,,2,,
0,93111,43.9094692,-78.79465159999998,,Highway 2 Eastbound @ Sandringham,93111,,2,,2,,
0,93112,43.832968,-79.0851,,Pickering Parkway Terminal Platform B12,93112,,1,,1,,
0,93115,43.8600147,-78.9446226,,Victoria Eastbound @ Gordon (Abilities Centre),93115,,1,,1,,
0,93121,43.85131100000001,-79.022762,,Station Westbound @ Harwood,93121,,2,,2,,
0,93122,43.85056,-79.02585999999998,,Station Westbound @ Mills,93122,,2,,2,,
0,93123,43.8491309,-79.028733,,Station Westbound @ Dowty,93123,,2,,1,,
0,93126,43.8984647,-79.0118366,,Williamson Westbound @ Stokes,93126,,2,,1,,
0,93127,43.897461,-79.0163395,,Williamson Eastbound @ Warner,93127,,2,,1,,
0,93128,43.895826,-79.02289399999998,,Williamson Westbound @ Gillett,93128,,2,,1,,
0,93137,43.895662,-79.0297218,,Salem Northbound @ Elliottglen Dr,93137,,2,,1,,
